Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH1250,SCH214,Science,Basic,7,24
TCH1251,SCH103,Science,Advanced,8,8
TCH1252,SCH389,Social Studies,Basic,6,28
TCH1253,SCH075,Math,Basic,5,20
TCH1254,SCH281,Math,Basic,8,16
TCH1255,SCH399,English,Basic,13,11
TCH1256,SCH122,Science,Basic,5,28
TCH1257,SCH470,Math,Basic,7,23
TCH1258,SCH170,Math,Basic,2,28
TCH1259,SCH390,English,Basic,9,9
TCH1260,SCH213,Math,Advanced,16,8
TCH1261,SCH327,Social Studies,Advanced,7,10
TCH1262,SCH073,Nepali,Basic,1,26
TCH1263,SCH461,Nepali,Basic,11,8
TCH1264,SCH099,Social Studies,Advanced,1,8
TCH1265,SCH191,Math,Advanced,5,29
TCH1266,SCH270,English,Advanced,24,8
TCH1267,SCH028,Math,Basic,3,30
TCH1268,SCH148,Nepali,Basic,9,35
TCH1269,SCH367,English,Basic,10,11
TCH1270,SCH175,Nepali,Basic,19,20
TCH1271,SCH488,English,Advanced,6,10
TCH1272,SCH160,Nepali,Basic,7,25
TCH1273,SCH182,Nepali,Advanced,7,9
TCH1274,SCH199,Science,Basic,9,11
TCH1275,SCH282,Math,Advanced,12,18
TCH1276,SCH492,Math,Advanced,14,25
TCH1277,SCH102,English,Advanced,12,24
TCH1278,SCH244,English,Advanced,18,11
TCH1279,SCH362,English,Advanced,14,10
TCH1280,SCH259,Nepali,Basic,10,32
TCH1281,SCH065,Social Studies,Basic,18,11
TCH1282,SCH103,Science,Basic,8,8
TCH1283,SCH136,Math,Advanced,7,8
TCH1284,SCH294,English,Advanced,12,25
TCH1285,SCH057,Nepali,Basic,9,18
TCH1286,SCH064,English,Basic,4,24
TCH1287,SCH080,Nepali,Basic,2,20
TCH1288,SCH337,Nepali,Advanced,6,11
TCH1289,SCH257,Math,Basic,1,24
TCH1290,SCH014,Math,Basic,21,12
TCH1291,SCH470,Math,Basic,13,23
TCH1292,SCH477,Science,Basic,23,8
TCH1293,SCH126,Nepali,Basic,10,27
TCH1294,SCH282,Math,Advanced,2,17
TCH1295,SCH409,Nepali,Advanced,17,8
TCH1296,SCH407,Math,Advanced,11,10
TCH1297,SCH278,Math,Advanced,11,11
TCH1298,SCH358,Social Studies,Basic,14,11
TCH1299,SCH294,Nepali,Advanced,9,19
TCH1300,SCH304,Social Studies,Basic,12,10
TCH1301,SCH290,Science,Advanced,25,10
TCH1302,SCH338,English,Basic,10,11
TCH1303,SCH106,Math,Basic,4,30
TCH1304,SCH075,Nepali,Basic,7,24
TCH1305,SCH036,Math,Basic,3,9
TCH1306,SCH064,Social Studies,Basic,7,31
TCH1307,SCH480,English,Advanced,9,9
TCH1308,SCH274,Social Studies,Advanced,16,8
TCH1309,SCH381,Science,Advanced,9,12
TCH1310,SCH157,Social Studies,Basic,1,22
TCH1311,SCH353,English,Basic,14,10
TCH1312,SCH229,Social Studies,Advanced,21,25
TCH1313,SCH159,Nepali,Advanced,5,23
TCH1314,SCH234,Social Studies,Advanced,18,8
TCH1315,SCH322,Nepali,Advanced,7,28
TCH1316,SCH135,Nepali,Basic,10,11
TCH1317,SCH363,English,Basic,1,21
TCH1318,SCH365,English,Advanced,5,19
TCH1319,SCH337,Social Studies,Advanced,5,8
TCH1320,SCH350,Math,Advanced,24,10
TCH1321,SCH256,Math,Basic,12,27
TCH1322,SCH214,Math,Basic,1,25
TCH1323,SCH390,Science,Advanced,8,8
TCH1324,SCH284,Nepali,Basic,14,8
TCH1325,SCH347,Science,Advanced,11,9
TCH1326,SCH318,Nepali,Advanced,6,11
TCH1327,SCH113,English,Basic,7,25
TCH1328,SCH354,Social Studies,Basic,16,11
TCH1329,SCH076,Social Studies,Advanced,8,21
TCH1330,SCH026,English,Advanced,7,28
TCH1331,SCH168,English,Basic,4,26
TCH1332,SCH288,Social Studies,Basic,4,28
TCH1333,SCH284,Nepali,Basic,11,8
TCH1334,SCH250,Math,Basic,21,25
TCH1335,SCH268,Math,Basic,1,21
TCH1336,SCH418,Nepali,Basic,20,11
TCH1337,SCH107,Social Studies,Advanced,19,9
TCH1338,SCH350,Science,Basic,16,9
TCH1339,SCH219,Social Studies,Advanced,14,8
TCH1340,SCH370,Nepali,Advanced,10,8
TCH1341,SCH450,Science,Advanced,11,8
TCH1342,SCH222,Math,Advanced,13,8
TCH1343,SCH150,Nepali,Advanced,11,16
TCH1344,SCH112,Math,Basic,7,22
TCH1345,SCH296,Science,Basic,12,8
TCH1346,SCH181,English,Basic,9,9
TCH1347,SCH475,Math,Advanced,13,12
TCH1348,SCH061,Nepali,Basic,9,20
TCH1349,SCH165,Nepali,Basic,1,29
TCH1350,SCH196,Nepali,Advanced,8,10
TCH1351,SCH120,Math,Advanced,21,10
TCH1352,SCH386,English,Basic,1,26
TCH1353,SCH415,Science,Advanced,10,8
TCH1354,SCH111,English,Advanced,17,10
TCH1355,SCH208,Social Studies,Advanced,23,10
TCH1356,SCH021,Social Studies,Advanced,4,26
TCH1357,SCH021,Science,Basic,6,30
TCH1358,SCH153,Social Studies,Advanced,12,8
TCH1359,SCH429,English,Basic,13,10
TCH1360,SCH034,Science,Advanced,9,23
TCH1361,SCH120,Science,Advanced,12,8
TCH1362,SCH230,Science,Basic,13,8
TCH1363,SCH333,Social Studies,Advanced,4,32
TCH1364,SCH442,Social Studies,Advanced,5,26
TCH1365,SCH124,Social Studies,Advanced,2,9
TCH1366,SCH152,Social Studies,Advanced,12,26
TCH1367,SCH350,Math,Advanced,2,8
TCH1368,SCH060,English,Basic,17,8
TCH1369,SCH045,Science,Basic,10,26
TCH1370,SCH372,Social Studies,Basic,2,11
TCH1371,SCH026,Science,Basic,11,24
TCH1372,SCH278,Math,Basic,13,8
TCH1373,SCH475,Science,Basic,10,10
TCH1374,SCH077,English,Advanced,13,26
TCH1375,SCH426,Science,Advanced,6,23
TCH1376,SCH190,Math,Advanced,8,24
TCH1377,SCH443,Math,Advanced,11,8
TCH1378,SCH060,Science,Basic,6,13
TCH1379,SCH438,Social Studies,Advanced,14,11
TCH1380,SCH043,Science,Advanced,14,10
TCH1381,SCH394,Nepali,Advanced,12,12
TCH1382,SCH133,Math,Basic,10,18
TCH1383,SCH195,Nepali,Advanced,7,8
TCH1384,SCH189,Science,Basic,26,10
TCH1385,SCH177,Science,Advanced,20,9
TCH1386,SCH077,Math,Advanced,9,25
TCH1387,SCH443,Math,Basic,8,8
TCH1388,SCH438,Social Studies,Advanced,11,8
TCH1389,SCH254,English,Basic,12,9
TCH1390,SCH062,Science,Advanced,16,8
TCH1391,SCH056,Social Studies,Basic,7,23
TCH1392,SCH441,English,Advanced,9,11
TCH1393,SCH003,English,Basic,1,8
TCH1394,SCH260,Science,Advanced,10,13
TCH1395,SCH418,English,Basic,14,12
TCH1396,SCH391,English,Advanced,18,8
TCH1397,SCH346,English,Basic,7,21
TCH1398,SCH075,Nepali,Advanced,2,18
TCH1399,SCH327,Nepali,Basic,6,10
TCH1400,SCH227,Science,Basic,15,10
TCH1401,SCH028,Nepali,Advanced,3,23
TCH1402,SCH053,Math,Advanced,5,12
TCH1403,SCH465,Social Studies,Basic,11,18
TCH1404,SCH441,English,Basic,13,8
TCH1405,SCH397,English,Advanced,14,11
TCH1406,SCH403,Nepali,Basic,1,14
TCH1407,SCH064,Social Studies,Advanced,13,21
TCH1408,SCH111,Nepali,Basic,11,11
TCH1409,SCH430,Math,Basic,1,10
TCH1410,SCH327,Math,Advanced,14,11
TCH1411,SCH096,Math,Basic,3,26
TCH1412,SCH458,Math,Basic,12,21
TCH1413,SCH149,Math,Basic,15,8
TCH1414,SCH418,English,Basic,8,8
TCH1415,SCH220,Social Studies,Basic,1,11
TCH1416,SCH351,Math,Basic,18,10
TCH1417,SCH469,Social Studies,Basic,2,28
TCH1418,SCH035,Social Studies,Advanced,13,11
TCH1419,SCH374,Math,Advanced,10,22
TCH1420,SCH305,English,Basic,8,23
TCH1421,SCH077,Nepali,Advanced,8,28
TCH1422,SCH319,Social Studies,Basic,8,11
TCH1423,SCH264,Science,Basic,8,24
TCH1424,SCH380,Nepali,Basic,7,27
TCH1425,SCH042,Social Studies,Advanced,10,9
TCH1426,SCH076,Math,Basic,16,28
TCH1427,SCH083,English,Basic,19,13
TCH1428,SCH224,Nepali,Advanced,9,34
TCH1429,SCH478,Science,Advanced,14,8
TCH1430,SCH420,English,Advanced,5,18
TCH1431,SCH019,Nepali,Advanced,13,25
TCH1432,SCH250,Science,Advanced,5,25
TCH1433,SCH024,Science,Advanced,10,8
TCH1434,SCH451,English,Advanced,25,10
TCH1435,SCH419,English,Advanced,12,9
TCH1436,SCH001,Math,Advanced,4,8
TCH1437,SCH429,Math,Basic,19,9
TCH1438,SCH345,Social Studies,Basic,1,8
TCH1439,SCH382,Social Studies,Advanced,15,11
TCH1440,SCH053,Science,Basic,9,12
TCH1441,SCH355,Social Studies,Basic,1,31
TCH1442,SCH096,Nepali,Basic,1,27
TCH1443,SCH267,Math,Advanced,13,11
TCH1444,SCH398,Social Studies,Basic,1,23
TCH1445,SCH384,English,Basic,18,8
TCH1446,SCH468,English,Basic,20,8
TCH1447,SCH271,Math,Basic,1,21
TCH1448,SCH095,Nepali,Advanced,11,30
TCH1449,SCH034,Social Studies,Basic,4,25
TCH1450,SCH229,English,Basic,14,27
TCH1451,SCH012,Math,Advanced,24,8
TCH1452,SCH244,Social Studies,Advanced,19,8
TCH1453,SCH163,English,Advanced,9,25
TCH1454,SCH030,Math,Basic,9,20
TCH1455,SCH388,Social Studies,Advanced,8,8
TCH1456,SCH406,Math,Advanced,8,9
TCH1457,SCH183,Science,Basic,6,8
TCH1458,SCH406,Science,Advanced,15,10
TCH1459,SCH151,Math,Advanced,16,25
TCH1460,SCH129,Math,Basic,16,18
TCH1461,SCH031,Science,Basic,1,23
TCH1462,SCH146,Math,Advanced,5,21
TCH1463,SCH426,Nepali,Basic,5,27
TCH1464,SCH439,English,Advanced,9,11
TCH1465,SCH263,Science,Advanced,19,11
TCH1466,SCH380,English,Basic,6,23
TCH1467,SCH050,Science,Basic,14,31
TCH1468,SCH130,Social Studies,Basic,13,11
TCH1469,SCH021,Social Studies,Basic,11,22
TCH1470,SCH241,Science,Advanced,12,10
TCH1471,SCH187,Math,Basic,14,24
TCH1472,SCH080,English,Basic,2,24
TCH1473,SCH400,English,Basic,7,21
TCH1474,SCH337,Math,Basic,18,12
TCH1475,SCH435,Nepali,Basic,1,12
TCH1476,SCH377,English,Basic,13,10
TCH1477,SCH096,English,Basic,10,18
TCH1478,SCH357,Social Studies,Basic,5,27
TCH1479,SCH414,Nepali,Advanced,15,9
TCH1480,SCH382,Science,Advanced,12,10
TCH1481,SCH250,Science,Advanced,9,33
TCH1482,SCH257,Math,Basic,1,21
TCH1483,SCH407,Science,Advanced,12,10
TCH1484,SCH409,Science,Advanced,12,8
TCH1485,SCH164,Social Studies,Advanced,14,10
TCH1486,SCH148,Math,Advanced,9,22
TCH1487,SCH117,English,Basic,10,29
TCH1488,SCH141,English,Advanced,17,8
TCH1489,SCH230,Nepali,Advanced,6,11
TCH1490,SCH182,Social Studies,Basic,8,8
TCH1491,SCH098,Science,Advanced,8,8
TCH1492,SCH260,English,Advanced,10,9
TCH1493,SCH186,Math,Advanced,1,10
TCH1494,SCH064,Science,Basic,10,25
TCH1495,SCH481,English,Basic,15,11
TCH1496,SCH418,English,Basic,4,9
TCH1497,SCH427,Math,Basic,13,10
TCH1498,SCH419,Science,Basic,20,10
TCH1499,SCH149,English,Basic,12,11
TCH1500,SCH479,Nepali,Basic,17,10
TCH1501,SCH422,Nepali,Basic,19,10
TCH1502,SCH490,English,Basic,5,28
TCH1503,SCH377,Math,Advanced,7,12
TCH1504,SCH478,English,Advanced,9,8
TCH1505,SCH117,Science,Basic,4,28
TCH1506,SCH320,Social Studies,Advanced,8,8
TCH1507,SCH012,Nepali,Advanced,9,8
TCH1508,SCH121,Science,Basic,14,19
TCH1509,SCH040,Social Studies,Advanced,18,12
TCH1510,SCH370,Nepali,Advanced,15,10
TCH1511,SCH273,English,Basic,7,31
TCH1512,SCH359,Social Studies,Basic,25,8
TCH1513,SCH019,Science,Basic,11,23
TCH1514,SCH106,Science,Basic,18,26
TCH1515,SCH077,Science,Advanced,4,21
TCH1516,SCH189,Math,Advanced,11,8
TCH1517,SCH232,English,Basic,2,19
TCH1518,SCH150,English,Advanced,1,11
TCH1519,SCH040,Social Studies,Advanced,16,11
TCH1520,SCH427,Social Studies,Basic,5,10
TCH1521,SCH039,Social Studies,Basic,7,20
TCH1522,SCH367,Nepali,Basic,9,8
TCH1523,SCH199,Nepali,Advanced,1,8
TCH1524,SCH157,English,Advanced,4,28
TCH1525,SCH113,Math,Basic,4,29
TCH1526,SCH029,Math,Advanced,18,10
TCH1527,SCH230,Math,Advanced,9,8
TCH1528,SCH124,Math,Basic,6,11
TCH1529,SCH260,Science,Advanced,16,9
TCH1530,SCH120,English,Basic,12,8
TCH1531,SCH220,Nepali,Basic,8,10
TCH1532,SCH216,English,Advanced,8,8
TCH1533,SCH318,Math,Advanced,6,8
TCH1534,SCH313,Social Studies,Advanced,5,11
TCH1535,SCH443,Social Studies,Advanced,20,13
TCH1536,SCH189,Math,Advanced,10,9
TCH1537,SCH271,English,Basic,11,19
TCH1538,SCH156,Nepali,Advanced,7,8
TCH1539,SCH239,Social Studies,Advanced,20,9
TCH1540,SCH142,English,Advanced,19,8
TCH1541,SCH193,Math,Basic,2,31
TCH1542,SCH155,Math,Advanced,13,8
TCH1543,SCH246,English,Basic,1,22
TCH1544,SCH128,Science,Basic,17,23
TCH1545,SCH333,Math,Basic,1,23
TCH1546,SCH115,Social Studies,Basic,16,9
TCH1547,SCH459,Social Studies,Advanced,15,10
TCH1548,SCH499,Math,Advanced,10,8
TCH1549,SCH078,English,Advanced,8,9
TCH1550,SCH300,Nepali,Basic,2,10
TCH1551,SCH271,Math,Basic,4,29
TCH1552,SCH487,Nepali,Advanced,14,23
TCH1553,SCH243,Math,Advanced,7,22
TCH1554,SCH322,Science,Basic,1,22
TCH1555,SCH043,Science,Basic,11,11
TCH1556,SCH019,Math,Basic,17,22
TCH1557,SCH209,Science,Basic,3,28
TCH1558,SCH056,Math,Advanced,1,20
TCH1559,SCH171,English,Advanced,18,8
TCH1560,SCH243,Nepali,Basic,5,24
TCH1561,SCH265,English,Advanced,16,9
TCH1562,SCH412,English,Basic,7,23
TCH1563,SCH382,Nepali,Basic,10,8
TCH1564,SCH411,Science,Basic,2,30
TCH1565,SCH179,Math,Basic,4,24
TCH1566,SCH011,Science,Basic,12,16
TCH1567,SCH104,Science,Basic,1,24
TCH1568,SCH270,Social Studies,Advanced,11,8
TCH1569,SCH339,Science,Basic,1,8
TCH1570,SCH264,Science,Advanced,9,28
TCH1571,SCH149,Social Studies,Basic,13,8
TCH1572,SCH407,English,Advanced,4,9
TCH1573,SCH277,Math,Basic,11,8
TCH1574,SCH123,Nepali,Basic,6,26
TCH1575,SCH379,English,Advanced,24,12
TCH1576,SCH357,Science,Basic,6,24
TCH1577,SCH164,Social Studies,Basic,11,8
TCH1578,SCH385,Social Studies,Advanced,19,12
TCH1579,SCH436,Science,Advanced,9,31
TCH1580,SCH416,English,Basic,5,27
TCH1581,SCH153,English,Basic,19,11
TCH1582,SCH284,Nepali,Basic,21,11
TCH1583,SCH267,Science,Advanced,10,8
TCH1584,SCH027,Social Studies,Advanced,9,11
TCH1585,SCH069,Social Studies,Advanced,18,8
TCH1586,SCH369,Math,Basic,5,26
TCH1587,SCH080,Science,Basic,8,21
TCH1588,SCH364,Science,Basic,15,28
TCH1589,SCH122,Math,Basic,18,23
TCH1590,SCH191,Social Studies,Basic,1,25
TCH1591,SCH274,Social Studies,Basic,24,10
TCH1592,SCH352,Science,Basic,11,26
TCH1593,SCH182,Social Studies,Advanced,4,8
TCH1594,SCH302,Nepali,Advanced,8,9
TCH1595,SCH499,Social Studies,Advanced,17,8
TCH1596,SCH119,English,Basic,1,8
TCH1597,SCH446,Math,Advanced,9,12
TCH1598,SCH497,Social Studies,Basic,3,15
TCH1599,SCH068,Nepali,Basic,3,25
TCH1600,SCH427,Social Studies,Advanced,1,11
TCH1601,SCH090,Nepali,Basic,10,25
TCH1602,SCH118,Social Studies,Advanced,14,9
TCH1603,SCH418,Math,Advanced,8,8
TCH1604,SCH122,Math,Advanced,6,33
TCH1605,SCH459,English,Basic,7,11
TCH1606,SCH295,Math,Advanced,6,9
TCH1607,SCH239,Science,Basic,11,8
TCH1608,SCH297,Math,Basic,12,8
TCH1609,SCH024,Math,Advanced,1,10
TCH1610,SCH160,Science,Basic,13,25
TCH1611,SCH130,Social Studies,Basic,18,14
TCH1612,SCH092,Social Studies,Basic,7,25
TCH1613,SCH002,Social Studies,Advanced,13,11
TCH1614,SCH166,English,Advanced,7,12
TCH1615,SCH386,Social Studies,Basic,13,26
TCH1616,SCH328,Social Studies,Basic,20,12
TCH1617,SCH039,Nepali,Advanced,2,25
TCH1618,SCH451,English,Advanced,16,12
TCH1619,SCH157,English,Basic,1,24
TCH1620,SCH250,Math,Basic,14,29
TCH1621,SCH290,English,Advanced,2,8
TCH1622,SCH402,Nepali,Advanced,14,9
TCH1623,SCH462,Math,Basic,6,25
TCH1624,SCH249,Social Studies,Advanced,10,9
TCH1625,SCH050,Nepali,Basic,10,28
TCH1626,SCH230,Nepali,Basic,12,12
TCH1627,SCH218,English,Basic,5,25
TCH1628,SCH308,English,Advanced,10,8
TCH1629,SCH317,English,Advanced,15,12
TCH1630,SCH459,Science,Advanced,17,10
TCH1631,SCH493,Math,Advanced,1,27
TCH1632,SCH302,Math,Basic,23,9
TCH1633,SCH076,English,Basic,8,30
TCH1634,SCH060,Nepali,Basic,12,9
TCH1635,SCH074,English,Advanced,8,28
TCH1636,SCH373,Nepali,Advanced,17,8
TCH1637,SCH427,Math,Basic,16,10
TCH1638,SCH389,Math,Advanced,4,30
TCH1639,SCH123,English,Advanced,11,19
TCH1640,SCH228,Math,Advanced,11,29
TCH1641,SCH316,Nepali,Advanced,7,10
TCH1642,SCH355,Nepali,Basic,7,25
TCH1643,SCH051,English,Basic,6,23
TCH1644,SCH032,Nepali,Basic,11,25
TCH1645,SCH131,Nepali,Advanced,11,29
TCH1646,SCH463,Social Studies,Advanced,21,8
TCH1647,SCH017,Science,Basic,14,26
TCH1648,SCH418,Science,Advanced,13,10
TCH1649,SCH224,English,Basic,7,18
TCH1650,SCH245,Social Studies,Advanced,16,11
TCH1651,SCH212,Science,Advanced,13,8
TCH1652,SCH122,Nepali,Basic,8,26
TCH1653,SCH004,English,Basic,23,10
TCH1654,SCH101,Social Studies,Basic,1,11
TCH1655,SCH231,Nepali,Basic,13,23
TCH1656,SCH354,Science,Advanced,2,13
TCH1657,SCH347,Math,Advanced,12,8
TCH1658,SCH117,Science,Basic,11,21
TCH1659,SCH401,Nepali,Advanced,3,23
TCH1660,SCH095,Science,Basic,9,22
TCH1661,SCH023,Science,Advanced,10,27
TCH1662,SCH400,Math,Basic,7,24
TCH1663,SCH115,Science,Basic,17,11
TCH1664,SCH392,Science,Basic,2,29
TCH1665,SCH123,Nepali,Basic,11,22
TCH1666,SCH429,Nepali,Advanced,2,10
TCH1667,SCH347,Nepali,Advanced,13,10
TCH1668,SCH408,Nepali,Basic,20,9
TCH1669,SCH361,Science,Basic,14,11
TCH1670,SCH383,Social Studies,Basic,5,28
TCH1671,SCH035,Math,Advanced,20,9
TCH1672,SCH344,English,Advanced,1,21
TCH1673,SCH175,Math,Basic,8,18
TCH1674,SCH146,Social Studies,Advanced,5,25
TCH1675,SCH370,Nepali,Basic,15,11
TCH1676,SCH134,Nepali,Basic,9,24
TCH1677,SCH382,Nepali,Advanced,9,9
TCH1678,SCH339,Social Studies,Basic,16,11
TCH1679,SCH215,Social Studies,Basic,8,30
TCH1680,SCH278,Social Studies,Advanced,10,12
TCH1681,SCH314,Nepali,Basic,9,8
TCH1682,SCH429,Nepali,Advanced,12,8
TCH1683,SCH139,Nepali,Basic,6,28
TCH1684,SCH109,Math,Basic,16,12
TCH1685,SCH121,Nepali,Basic,4,20
TCH1686,SCH291,English,Advanced,15,8
TCH1687,SCH323,Social Studies,Advanced,13,8
TCH1688,SCH161,Science,Basic,5,23
TCH1689,SCH136,Nepali,Advanced,11,9
TCH1690,SCH495,English,Advanced,9,25
TCH1691,SCH499,Nepali,Advanced,14,9
TCH1692,SCH162,Science,Advanced,10,29
TCH1693,SCH062,Nepali,Advanced,5,8
TCH1694,SCH411,Social Studies,Basic,11,28
TCH1695,SCH140,English,Basic,6,27
TCH1696,SCH305,Social Studies,Basic,6,24
TCH1697,SCH236,Nepali,Basic,11,10
TCH1698,SCH399,Science,Advanced,20,14
TCH1699,SCH328,English,Basic,3,8
TCH1700,SCH330,Social Studies,Advanced,4,30
TCH1701,SCH023,Social Studies,Advanced,13,28
TCH1702,SCH017,Social Studies,Advanced,6,25
TCH1703,SCH434,Science,Basic,1,27
TCH1704,SCH489,Social Studies,Basic,9,23
TCH1705,SCH320,English,Basic,16,9
TCH1706,SCH002,English,Advanced,1,12
TCH1707,SCH243,English,Basic,16,19
TCH1708,SCH186,Social Studies,Basic,13,12
TCH1709,SCH371,Science,Advanced,4,8
TCH1710,SCH347,English,Advanced,10,10
TCH1711,SCH477,Math,Advanced,19,14
TCH1712,SCH308,Science,Advanced,16,8
TCH1713,SCH236,Math,Basic,14,9
TCH1714,SCH094,English,Basic,12,17
TCH1715,SCH479,Nepali,Advanced,17,13
TCH1716,SCH268,Math,Basic,9,29
TCH1717,SCH254,English,Basic,16,8
TCH1718,SCH498,Math,Basic,8,26
TCH1719,SCH184,Math,Advanced,5,10
TCH1720,SCH387,Science,Basic,2,10
TCH1721,SCH240,Nepali,Basic,10,34
TCH1722,SCH245,Social Studies,Basic,6,11
TCH1723,SCH016,Science,Advanced,4,12
TCH1724,SCH281,Nepali,Basic,7,27
TCH1725,SCH459,Social Studies,Advanced,6,11
TCH1726,SCH445,Nepali,Basic,8,9
TCH1727,SCH388,Math,Advanced,5,9
TCH1728,SCH320,Science,Advanced,13,9
TCH1729,SCH085,Math,Advanced,19,8
TCH1730,SCH492,Nepali,Basic,15,23
TCH1731,SCH193,English,Basic,16,26
TCH1732,SCH019,Nepali,Advanced,18,25
TCH1733,SCH311,English,Advanced,1,24
TCH1734,SCH408,Math,Advanced,11,13
TCH1735,SCH181,English,Basic,1,8
TCH1736,SCH449,Science,Basic,9,26
TCH1737,SCH477,Social Studies,Advanced,19,8
TCH1738,SCH127,Social Studies,Basic,7,11
TCH1739,SCH171,Science,Basic,11,11
TCH1740,SCH050,Science,Basic,7,29
TCH1741,SCH051,Nepali,Basic,4,23
TCH1742,SCH035,Math,Basic,11,8
TCH1743,SCH145,Science,Advanced,12,9
TCH1744,SCH018,Science,Basic,9,26
TCH1745,SCH176,Science,Advanced,4,27
TCH1746,SCH446,English,Advanced,13,8
TCH1747,SCH227,Nepali,Basic,17,10
TCH1748,SCH364,Math,Basic,13,30
TCH1749,SCH026,English,Advanced,2,31
TCH1750,SCH013,English,Advanced,10,26
TCH1751,SCH375,Social Studies,Advanced,7,10
TCH1752,SCH056,Nepali,Basic,1,20
TCH1753,SCH182,Science,Basic,1,9
TCH1754,SCH468,English,Advanced,20,10
TCH1755,SCH086,Math,Advanced,15,9
TCH1756,SCH197,Science,Basic,12,8
TCH1757,SCH048,Math,Basic,18,11
TCH1758,SCH289,English,Advanced,16,10
TCH1759,SCH414,Nepali,Advanced,9,11
TCH1760,SCH089,Math,Advanced,10,9
TCH1761,SCH322,Social Studies,Basic,13,29
TCH1762,SCH004,Nepali,Basic,9,10
TCH1763,SCH498,Nepali,Basic,13,19
TCH1764,SCH463,Nepali,Advanced,12,10
TCH1765,SCH429,Nepali,Advanced,1,8
TCH1766,SCH467,Nepali,Advanced,4,9
TCH1767,SCH050,Math,Advanced,9,19
TCH1768,SCH162,Math,Advanced,4,24
TCH1769,SCH111,Science,Advanced,23,8
TCH1770,SCH124,Math,Advanced,11,10
TCH1771,SCH415,Math,Basic,22,10
TCH1772,SCH227,Math,Advanced,22,8
TCH1773,SCH216,Nepali,Advanced,16,8
TCH1774,SCH167,Science,Advanced,10,9
TCH1775,SCH338,Nepali,Advanced,5,12
TCH1776,SCH271,Nepali,Basic,3,22
TCH1777,SCH227,Science,Advanced,10,8
TCH1778,SCH431,Science,Basic,13,8
TCH1779,SCH220,Math,Advanced,6,8
TCH1780,SCH161,English,Advanced,3,30
TCH1781,SCH499,Science,Advanced,9,9
TCH1782,SCH485,Science,Basic,13,12
TCH1783,SCH436,Science,Advanced,4,26
TCH1784,SCH208,Social Studies,Advanced,4,10
TCH1785,SCH276,Nepali,Basic,11,8
TCH1786,SCH430,Science,Advanced,1,12
TCH1787,SCH250,English,Advanced,12,27
TCH1788,SCH352,Social Studies,Basic,14,27
TCH1789,SCH385,Math,Advanced,6,10
TCH1790,SCH267,Math,Advanced,21,8
TCH1791,SCH180,Math,Basic,6,26
TCH1792,SCH289,Social Studies,Basic,21,11
TCH1793,SCH182,English,Advanced,6,10
TCH1794,SCH434,Nepali,Advanced,8,27
TCH1795,SCH068,Math,Advanced,1,19
TCH1796,SCH206,Math,Basic,7,24
TCH1797,SCH444,English,Basic,3,25
TCH1798,SCH033,English,Basic,8,32
TCH1799,SCH083,Nepali,Advanced,9,8
TCH1800,SCH210,Math,Basic,15,22
TCH1801,SCH466,Nepali,Advanced,14,12
TCH1802,SCH452,Math,Basic,16,25
TCH1803,SCH413,Science,Advanced,2,26
TCH1804,SCH460,Social Studies,Advanced,11,8
TCH1805,SCH429,English,Basic,17,11
TCH1806,SCH026,Social Studies,Basic,14,25
TCH1807,SCH134,Science,Advanced,1,32
TCH1808,SCH208,Science,Advanced,3,8
TCH1809,SCH145,Nepali,Advanced,8,11
TCH1810,SCH191,Nepali,Advanced,6,27
TCH1811,SCH214,Math,Basic,2,24
TCH1812,SCH434,Science,Basic,12,29
TCH1813,SCH043,Nepali,Advanced,16,10
TCH1814,SCH249,English,Advanced,8,8
TCH1815,SCH130,Math,Advanced,16,10
TCH1816,SCH303,Science,Basic,3,28
TCH1817,SCH267,Social Studies,Advanced,8,12
TCH1818,SCH187,Science,Basic,5,22
TCH1819,SCH496,Math,Advanced,8,9
TCH1820,SCH159,Math,Basic,11,24
TCH1821,SCH095,Math,Advanced,16,24
TCH1822,SCH017,English,Basic,2,25
TCH1823,SCH242,Science,Advanced,24,9
TCH1824,SCH440,English,Basic,1,21
TCH1825,SCH036,Nepali,Basic,13,8
TCH1826,SCH106,Science,Advanced,16,23
TCH1827,SCH379,Nepali,Basic,1,14
TCH1828,SCH047,English,Basic,20,8
TCH1829,SCH325,Nepali,Basic,6,9
TCH1830,SCH118,Nepali,Basic,21,10
TCH1831,SCH235,English,Advanced,3,12
TCH1832,SCH433,Social Studies,Basic,15,8
TCH1833,SCH398,Nepali,Basic,4,24
TCH1834,SCH352,Social Studies,Basic,7,28
TCH1835,SCH129,Social Studies,Basic,13,26
TCH1836,SCH469,English,Basic,13,26
TCH1837,SCH112,Social Studies,Basic,2,25
TCH1838,SCH015,English,Advanced,8,12
TCH1839,SCH407,Nepali,Advanced,7,10
TCH1840,SCH187,Social Studies,Basic,4,18
TCH1841,SCH383,Science,Advanced,8,26
TCH1842,SCH182,Nepali,Advanced,18,11
TCH1843,SCH437,Social Studies,Basic,1,24
TCH1844,SCH036,Science,Advanced,5,8
TCH1845,SCH420,Nepali,Basic,9,27
TCH1846,SCH224,English,Advanced,1,26
TCH1847,SCH380,Math,Advanced,9,20
TCH1848,SCH157,Science,Advanced,7,20
TCH1849,SCH084,Math,Advanced,1,12
